id,type,card_type,daily_pay_cost,disp_order,only_once_flag,rarity_odds_id,draw_guarantee_rarity,draw_guarantee_num,cost_type,cost_single,prize_odds_id,additional_piece_target_card_type_1,additional_piece_target_card_id_1,additional_piece_target_rarity_1,additional_piece_num_1,additional_piece_target_card_type_2,additional_piece_target_card_id_2,additional_piece_target_rarity_2,additional_piece_num_2,additional_piece_target_card_type_3,additional_piece_target_card_id_3,additional_piece_target_rarity_3,additional_piece_num_3,additional_piece_target_card_type_4,additional_piece_target_card_id_4,additional_piece_target_rarity_4,additional_piece_num_4,additional_piece_target_card_type_5,additional_piece_target_card_id_5,additional_piece_target_rarity_5,additional_piece_num_5,additional_piece_target_card_type_6,additional_piece_target_card_id_6,additional_piece_target_rarity_6,additional_piece_num_6,bonus_target_draw_num,bonus_item_category_1,bonus_item_id_1,bonus_item_num_1,bonus_item_category_2,bonus_item_id_2,bonus_item_num_2,start_date,end_date
20011,2,1,0,280,0,3001,2,1,40,0,0,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677207600,2524629600
20012,2,2,0,270,0,3002,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677207600,2524629600
30002,3,1,50,400,0,1001,2,1,90,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609480800,1614653999
30003,3,2,50,390,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609480800,1614653999
30004,3,1,50,801,0,1001,2,1,90,150,0,1,101501,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614654000,1615258799
30005,3,2,50,800,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614654000,1615258799
30006,3,1,50,803,0,1001,2,1,90,150,0,1,102601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615258800,1616036399
30007,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615258800,1616036399
30008,3,1,50,803,0,1001,2,1,90,150,0,1,102301,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616036400,1617073199
30009,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616036400,1617073199
30010,3,1,50,803,0,1001,2,1,90,150,0,1,100302,0,90,1,101302,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1617073200,1618455599
30011,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617073200,1618455599
30012,3,1,50,803,0,1001,2,1,90,150,0,1,103801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618455600,1619405999
30013,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618455600,1619405999
30014,3,1,50,803,0,1001,2,1,90,150,0,1,105001,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619406000,1620269999
30015,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619406000,1620269999
30016,3,1,50,803,0,1001,2,1,90,150,0,1,104601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620270000,1621220399
30017,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620270000,1621220399
30018,3,1,50,803,0,1001,2,1,90,150,0,1,101601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621220400,1622170799
30019,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621220400,1622170799
30020,3,1,50,803,0,1001,2,1,90,150,0,1,102402,0,90,1,101802,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1622170800,1623293999
30021,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622170800,1623293999
30022,3,1,50,803,0,1001,2,1,90,150,0,1,102001,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623294000,1624244399
30023,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623294000,1624244399
30024,3,1,50,803,0,1001,2,1,90,150,0,1,101201,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624244400,1624935599
30025,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624244400,1624935599
30026,3,1,50,803,0,1001,2,1,90,150,0,1,101402,0,90,1,101102,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1624935600,1626058799
30027,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624935600,1626058799
30028,3,1,50,803,0,1001,2,1,90,150,0,1,100501,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626058800,1626749999
30029,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626058800,1626749999
30030,3,1,50,803,0,1001,2,1,90,150,0,1,104001,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626750000,1627527599
30031,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1626750000,1627527599
30032,3,1,50,803,0,1001,2,1,90,150,0,1,100102,0,90,1,100402,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1627527600,1628650799
30033,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627527600,1628650799
30034,3,1,50,803,0,1001,2,1,90,150,0,1,105801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628650800,1629428399
30035,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628650800,1629428399
30036,3,1,50,803,0,1001,2,1,90,150,0,1,103701,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629428400,1630292399
30037,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629428400,1630292399
30038,3,1,50,803,0,1001,2,1,90,150,0,1,105602,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630292400,1631242799
30039,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630292400,1631242799
30040,3,1,50,803,0,1001,2,1,90,150,0,1,102801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631242800,1632106799
30041,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631242800,1632106799
30042,3,1,50,803,0,1001,2,1,90,150,0,1,101901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632106800,1632884399
30043,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632106800,1632884399
30044,3,1,50,803,0,1001,2,1,90,150,0,1,103002,0,90,1,104502,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1632884400,1633921199
30045,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632884400,1633921199
30046,3,1,50,803,0,1001,2,1,90,150,0,1,103901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633921200,1634698799
30047,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633921200,1634698799
30048,3,1,50,803,0,1001,2,1,90,150,0,1,102501,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634698800,1635389999
30049,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634698800,1635389999
30050,3,1,50,803,0,1001,2,1,90,150,0,1,101702,0,90,1,104002,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1635390000,1636340399
30051,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635390000,1636340399
30052,3,1,50,803,0,1001,2,1,90,150,0,1,104801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636340400,1637290799
30053,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636340400,1637290799
30054,3,1,50,803,0,1001,2,1,90,150,0,1,105901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637290800,1638154799
30055,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637290800,1638154799
30056,3,1,50,803,0,1001,2,1,90,150,0,1,100602,0,90,1,102302,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1638154800,1639450799
30057,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638154800,1639450799
30058,3,1,50,803,0,1001,2,1,90,150,0,1,102201,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639450800,1640141999
30059,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639450800,1640141999
30060,3,1,50,803,0,1001,2,1,90,150,0,1,102101,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640142000,1640919599
30061,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640142000,1640919599
30062,3,1,50,803,0,1001,2,1,90,150,0,1,105202,0,90,1,101502,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1640919600,1641869999
30063,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640919600,1641869999
30064,3,1,50,803,0,1001,2,1,90,150,0,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641870000,1642647599
30065,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641870000,1642647599
30066,3,1,50,803,0,1001,2,1,90,150,0,1,106901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642647600,1643338799
30067,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642647600,1643338799
30068,3,1,50,803,0,1001,2,1,90,150,0,1,102602,0,90,1,103702,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1643338800,1644289199
30069,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643338800,1644289199
30070,3,1,50,803,0,1001,2,1,90,150,0,1,107101,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644289200,1644980399
30071,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644289200,1644980399
30072,3,1,50,803,0,1001,2,1,90,150,0,1,103301,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644980400,1645671599
30073,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644980400,1645671599
30074,3,1,50,803,0,1001,2,1,90,150,0,1,106801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645671600,1646621999
30075,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645671600,1646621999
30076,3,1,50,803,0,1001,2,1,90,150,0,1,106701,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646622000,1647572399
30077,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646622000,1647572399
30078,3,1,50,803,0,1001,2,1,90,150,0,1,107401,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647572400,1648522799
30079,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647572400,1648522799
30080,3,1,50,803,0,1001,2,1,90,150,0,1,102002,0,90,1,100502,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1648522800,1649645999
30081,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648522800,1649645999
30082,3,1,50,803,0,1001,2,1,90,150,0,1,105101,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649646000,1650337199
30083,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649646000,1650337199
30084,3,1,50,803,0,1001,2,1,90,150,0,1,107201,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650337200,1651114799
30085,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650337200,1651114799
30086,3,1,50,803,0,1001,2,1,90,150,0,1,106002,0,90,1,106102,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1651114800,1652151599
30087,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651114800,1652151599
30088,3,1,50,803,0,1001,2,1,90,150,0,1,103101,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652151600,1653015599
30089,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652151600,1653015599
30090,3,1,50,803,0,1001,2,1,90,150,0,1,106401,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653015600,1653879599
30091,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653015600,1653879599
30092,3,1,50,803,0,1001,2,1,90,150,0,1,103802,0,90,1,102202,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1653879600,1654829999
30093,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653879600,1654829999
30094,3,1,50,803,0,1001,2,1,90,150,0,1,103401,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654830000,1655693999
30095,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654830000,1655693999
30096,3,1,50,803,0,1001,2,1,90,150,0,1,104401,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655694000,1656557999
30097,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655694000,1656557999
30098,3,1,50,803,0,1001,2,1,90,150,0,1,101002,0,90,1,105902,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1656558000,1657508399
30099,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656558000,1657508399
30100,3,1,50,803,0,1001,2,1,90,150,0,1,103601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657508400,1658285999
30101,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657508400,1658285999
30102,3,1,50,803,0,1001,2,1,90,150,0,1,102001,0,90,1,101601,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1658286000,1659063599
30103,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658286000,1659063599
30104,3,1,50,803,0,1001,2,1,90,150,0,1,101303,0,90,1,100702,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1659063600,1660100399
30105,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659063600,1660100399
30106,3,1,50,803,0,1001,2,1,90,150,0,1,105301,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660100400,1660877999
30107,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660100400,1660877999
30108,3,1,50,803,0,1001,2,1,90,150,0,1,109801,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660878000,1661741999
30109,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660878000,1661741999
30110,3,1,50,805,0,1001,2,1,90,150,0,1,104602,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661310000,1662951599
30111,3,2,50,804,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661310000,1662951599
30112,3,1,50,807,0,1001,2,1,90,150,0,1,103502,0,90,1,105002,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1661742000,1662951599
30113,3,2,50,806,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661742000,1662951599
30114,3,1,50,803,0,1001,2,1,90,150,0,1,102901,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662951600,1663642799
30115,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662951600,1663642799
30116,3,1,50,803,0,1001,2,1,90,150,0,1,104201,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663642800,1664420399
30117,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663642800,1664420399
30118,3,1,50,803,0,1001,2,1,90,150,0,1,101902,0,90,1,105802,0,90,1,0,1,5,1,0,2,10,1,0,3,60,0,0,0,0,0,0,0,0,0,0,0,1664420400,1665457199
30119,3,2,50,802,0,1002,2,1,90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664420400,1665457199
